,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
143,,Hydro,Run-Of-River,,DE,0.38082,,0,2000,,48.9429545,8.44846483333333,,,3465
144,,OCGT,OCGT,,DE,1.1275,,0,1312,,49.0078180136364,8.42213476908198,,,3465
145,,onwind,onwind,,DE,0.00084,,0,2002,,48.9919707,8.4543068,,,3465
146,,solar,solar,,DE,51.44551496,,0,2011,,48.9966560851075,8.40407536170209,,,3465
147,,Bioenergy,Bioenergy,,DE,32.1658,,0,2005,,49.0421573857143,8.26274571082919,,,3466
148,,Geothermal,Geothermal,,DE,9.6,,0,1310,,49.15014335,8.14456432021035,,,3466
149,,Hard Coal,Hard Coal,,DE,1351,,0,1011,,49.0013588,8.31662433736784,,,3466
150,,Hydro,Run-Of-River,,DE,0.11121,,0,2000,,49.0454250375,8.21066564453134,,,3466
151,,OCGT,OCGT,,DE,1352.8215,,0,1011,,49.0375826896849,8.29483844525696,,,3466
152,,Oil,Oil,,DE,157.5,,0,1011,,49.0274288333333,8.34374613333334,,,3466
153,,onwind,onwind,,DE,2.6432,,0,2000,,49.0249688666667,8.3273188,,,3466
154,,solar,solar,,DE,126.61210752,,0,2010,,49.0709105060163,8.19056966985492,,,3466
155,,Bioenergy,Bioenergy,,DE,8.08205599999999,,0,2005,,47.8619239228572,9.05067422794932,,,3468
156,,Hydro,Run-Of-River,,DE,0.779955,,0,2009,,47.8484251251673,9.06760276040171,,,3468
157,,OCGT,OCGT,,DE,0.49446,,0,1509,,47.74676951766,9.08235726569244,,,3468
158,,onwind,onwind,,DE,0.0112,,0,2011,,47.93708075,8.86235995350012,,,3468
159,,solar,solar,,DE,132.11204692,,0,2009,,47.81685321514,9.07151409877597,,,3468
160,,Bioenergy,Bioenergy,,DE,7.0366,,0,2007,,47.8418861538462,8.77337805203163,,,3469
161,,Hydro,Hydro,,DE,1.18239,,0,1987,,47.79017664,8.82260068,,,3469
162,,OCGT,OCGT,,DE,0.2514,,0,1012,,47.8054744833333,8.72754618757627,,,3469
163,,onwind,onwind,,DE,0.0056,,0,2012,,47.75869955,8.78853235,,,3469
164,,solar,solar,,DE,62.05959544,,0,2009,,47.8200802705461,8.77135464522704,,,3469
165,,Bioenergy,Bioenergy,,DE,16.643,,0,2004,,48.0774478537383,8.56298640616881,,,3470
166,,Hydro,Run-Of-River,,DE,0.86526,,0,1999,,48.1560243955882,8.58734612856454,,,3470
167,,OCGT,OCGT,,DE,0.656475,,0,1209,,48.0823461659325,8.54277887502376,,,3470
168,,Oil,Oil,,DE,0.01546,,0,1608,,48.1376730166667,8.6552772667786,,,3470
169,,onwind,onwind,,DE,15.914304,,0,2005,,48.1560715636364,8.56488894874828,,,3470
170,,solar,solar,,DE,143.479790480001,,0,2011,,48.1203458121833,8.57176875352501,,,3470
171,,Bioenergy,Bioenergy,,DE,6.47656,,0,2011,,48.7740259461538,8.66123955384615,,,3471
172,,Hard Coal,Hard Coal,,DE,26.9,,0,1011,,48.8966019,8.722715,,,3471
173,,Hydro,Run-Of-River,,DE,1.99518,,0,1984,,48.7807252701923,8.61696893986677,,,3471
174,,OCGT,OCGT,,DE,61.23392,,0,1011,,48.791867675,8.68540175386004,,,3471
175,,onwind,onwind,,DE,33.88,,0,2000,,48.661366628125,8.54084792296441,,,3471
176,,solar,solar,,DE,64.67459608,,0,2012,,48.7957307247105,8.63887380473085,,,3471
177,,Bioenergy,Bioenergy,,DE,11.37992,,0,2007,,48.4713717880597,8.71006619131901,,,3472
178,,Hydro,Run-Of-River,,DE,4.027848,,0,2006,,48.5159307246667,8.69878010057039,,,3472
179,,OCGT,OCGT,,DE,0.1026,,0,1312,,48.5248439705379,8.76428043815042,,,3472
180,,Oil,Oil,,DE,0.00093,,0,1903,,48.4425814,8.8181095,,,3472
181,,onwind,onwind,,DE,4.60572,,0,2012,,48.42497171,8.5362182854343,,,3472
182,,solar,solar,,DE,208.04610624,,0,2012,,48.5088847631724,8.7323433136766,,,3472
183,,Bioenergy,Bioenergy,,DE,6.7056,,0,2011,,48.2153680512195,8.90634647292391,,,3473
184,,Hydro,Run-Of-River,,DE,0.366597,,0,2001,,48.2514128134615,8.8754214048278,,,3473
185,,OCGT,OCGT,,DE,0.2151,,0,1007,,48.2333015233333,8.91925674073456,,,3473
186,,Oil,Oil,,DE,0.24,,0,1207,,48.3334500166667,8.87022956581048,,,3473
187,,onwind,onwind,,DE,1.1984,,0,1996,,48.088899,8.883797,,,3473
188,,solar,solar,,DE,171.7719994,,0,2009,,48.2399045019562,8.89227845802479,,,3473
189,,Bioenergy,Bioenergy,,DE,7.8918,,0,2007,,48.8375884054916,8.92895310769357,,,3474
190,,onwind,onwind,,DE,0.0084,,0,2000,,48.8606574,8.8976208,,,3474
191,,solar,solar,,DE,116.95167604,,0,2008,,48.8139747622287,8.90091199048903,,,3474
192,,Hydro,Run-Of-River,,DE,1.7562468,,0,2000,,48.8653762936737,8.86285955103547,,,3475
193,,OCGT,OCGT,,DE,10.033515,,0,1312,,48.7665650055556,8.95054065652468,,,3475
194,,Oil,Oil,,DE,0.0053,,0,1704,,48.6985222,8.82543051215462,,,3475
195,,Bioenergy,Bioenergy,,DE,35.52032,,0,2007,,48.2481144415585,9.82325478771253,,,3476
196,,Hydro,Run-Of-River,,DE,3.92601,,0,1955,,48.2536997214286,9.83238335549209,,,3476
197,,OCGT,OCGT,,DE,5.1958,,0,1011,,48.2684902205395,9.81754709812356,,,3476
198,,Oil,Oil,,DE,0.4853,,0,1212,,48.1878761577281,9.75036068540116,,,3476
199,,onwind,onwind,,DE,4.08912,,0,2000,,48.07410012,9.78962738,,,3476
200,,solar,solar,,DE,213.45261964,,0,2010,,48.2310562588331,9.84356328487749,,,3476
201,,Bioenergy,Bioenergy,,DE,24.65452,,0,2006,,48.0451290335821,9.4181425883771,,,3477
202,,Hydro,Run-Of-River,,DE,1.685079,,0,2000,,48.074531965942,9.36881443286305,,,3477
203,,OCGT,OCGT,,DE,0.728058,,0,1309,,48.0568430875,9.39772636900294,,,3477
204,,onwind,onwind,,DE,4.312,,0,2000,,47.9392626,9.357751225,,,3477
205,,solar,solar,,DE,175.4729432,,0,2012,,48.0169787918589,9.41270901729054,,,3477
206,,Bioenergy,Bioenergy,,DE,9.54819999999999,,0,2004,,47.7903656886076,9.5730967452743,,,3478
207,,Hydro,Run-Of-River,,DE,1.433784,,0,2007,,47.7812757557692,9.61702388553104,,,3478
208,,OCGT,OCGT,,DE,0.7182,,0,1311,,47.7604136982027,9.56127180199345,,,3478
209,,Oil,Oil,,DE,3.4235,,0,1003,,47.8045620658989,9.68456185958531,,,3478
210,,onwind,onwind,,DE,17.472,,0,1999,,47.7811014,9.612468,,,3478
211,,solar,solar,,DE,133.01206728,,0,2011,,47.7717722774763,9.5767564522221,,,3478
